attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,12691
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,8256
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,3418
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,3313
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,4716
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,4010
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,34516
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,29081
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,22352
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,11656
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,6748
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,9095
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,11751
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,8547
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,2436
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,4234
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,30367
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,13535
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,3193
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,14470
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,20979
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,4470
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,2492
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,12217
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,7768
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,14784
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,10215
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,10100
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,4785
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,2753
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,2451
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,8923
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,2650
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,12555
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,3520
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,3035
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,15433
Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3672
Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,7882
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,32426
Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,6205
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,17304
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,3906
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,9830
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,34516
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,2283
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,2548
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,19458
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,4745
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,2622
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,3171
Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,19763
